time,buoy,model_output,buoy_measurement,difference,percentage_cloud
2022-10-01 10:00:00,['0n23w'],6.839962,6.0,0.839962,0.0389404296875
2022-10-01 10:00:00,['10s10w'],6.5987587,5.8,0.7987585,0.7266845703125
2022-10-01 10:00:00,['12n23w'],5.074421,4.5,0.5744209,0.279541015625
2022-10-01 10:00:00,['14s32w'],5.0463076,2.8,2.2463076,0.0985107421875
2022-10-01 10:00:00,['15n38w'],7.712781,7.5,0.21278095,0.0224609375
2022-10-01 10:00:00,['20n38w'],6.4281588,5.9,0.52815866,0.13555908203125
2022-10-01 10:00:00,['21n23w'],6.6594114,7.4,-0.74058867,0.18011474609375
2022-10-01 10:00:00,['4n23w'],6.93766,7.0,-0.062339783,0.28021240234375
2022-10-01 10:00:00,['6s10w'],6.050178,4.5,1.550178,0.34228515625
2022-10-01 10:00:00,['8s30w'],6.33307,8.4,-2.0669298,0.0372314453125
2022-10-01 11:00:00,['0n23w'],6.841254,6.9,-0.05874586,0.03662109375
2022-10-01 11:00:00,['10s10w'],6.693781,7.6,-0.906219,0.71636962890625
2022-10-01 11:00:00,['12n23w'],4.810392,3.9,0.9103918,0.2879638671875
2022-10-01 11:00:00,['14s32w'],5.1510367,5.0,0.15103674,0.0986328125
2022-10-01 11:00:00,['15n38w'],7.982115,7.7,0.28211498,0.0198974609375
2022-10-01 11:00:00,['20n38w'],6.319751,6.4,-0.08024931,0.1298828125
2022-10-01 11:00:00,['21n23w'],7.021471,8.4,-1.3785286,0.17193603515625
2022-10-01 11:00:00,['4n23w'],6.770166,6.7,0.07016611,0.2835693359375
2022-10-01 11:00:00,['6s10w'],6.088551,5.4,0.68855095,0.34478759765625
2022-10-01 11:00:00,['8s30w'],6.2142096,8.6,-2.3857908,0.0333251953125
2022-10-01 12:00:00,['0n23w'],6.630893,7.2,-0.5691066,0.025390625
2022-10-01 12:00:00,['10s10w'],7.16699,6.9,0.2669897,0.380859375
2022-10-01 12:00:00,['12n23w'],6.1130314,4.1,2.0130315,0.26959228515625
2022-10-01 12:00:00,['14s32w'],3.3006322,3.7,-0.3993678,0.0882568359375
2022-10-01 12:00:00,['15n38w'],7.8642387,7.2,0.6642389,0.023193359375
2022-10-01 12:00:00,['20n38w'],6.832901,5.3,1.5329008,0.09368896484375
2022-10-01 12:00:00,['21n23w'],7.288297,7.0,0.28829718,0.13592529296875
2022-10-01 12:00:00,['4n23w'],5.8695126,6.5,-0.63048744,0.2476806640625
2022-10-01 12:00:00,['6s10w'],5.824468,6.4,-0.57553196,0.264892578125
2022-10-01 12:00:00,['8s30w'],6.636313,8.3,-1.6636872,0.0169677734375
2022-10-01 13:00:00,['0n23w'],7.3961587,5.9,1.4961586,0.03192138671875
2022-10-01 13:00:00,['10s10w'],6.596349,6.5,0.09634876,0.37255859375
2022-10-01 13:00:00,['12n23w'],6.0104313,5.6,0.41043139,0.334716796875
2022-10-01 13:00:00,['14s32w'],5.1014614,5.1,0.0014615059,0.0518798828125
2022-10-01 13:00:00,['15n38w'],7.198957,7.0,0.19895697,0.02496337890625
2022-10-01 13:00:00,['20n38w'],6.6391993,5.4,1.2391992,0.091552734375
