,bin_start,bin_end,rmse,count
0,0.0,1.0,2.5784833431243896,33.0
1,1.0,2.0,1.9867814779281616,57.0
2,2.0,3.0,1.3462101221084595,140.0
3,3.0,4.0,0.9623314738273621,393.0
4,4.0,5.0,0.7031532526016235,582.0
5,5.0,6.0,0.8898375630378723,415.0
6,6.0,7.0,0.7928776144981384,486.0
7,7.0,8.0,0.8541104793548584,586.0
8,8.0,9.0,0.8472056984901428,438.0
9,9.0,10.0,0.8249735236167908,239.0
10,10.0,11.0,0.7741916179656982,140.0
11,11.0,12.0,0.9695342183113098,39.0
12,12.0,13.0,2.7983434200286865,4.0
13,13.0,14.0,3.0810647010803223,2.0
14,14.0,15.0,,0.0
15,15.0,16.0,,0.0
