,bin_start,bin_end,rmse,count
0,0.0,1.0,1.019674301147461,37.0
1,1.0,2.0,0.7463682889938354,77.0
2,2.0,3.0,0.6444884538650513,158.0
3,3.0,4.0,0.5506020784378052,362.0
4,4.0,5.0,0.5304903984069824,552.0
5,5.0,6.0,0.5004119873046875,816.0
6,6.0,7.0,0.42691120505332947,1056.0
7,7.0,8.0,0.4278627634048462,1013.0
8,8.0,9.0,0.46299460530281067,534.0
9,9.0,10.0,0.5878503918647766,208.0
10,10.0,11.0,0.6275737285614014,137.0
11,11.0,12.0,0.6711304783821106,49.0
12,12.0,13.0,1.4829367399215698,7.0
13,13.0,14.0,,0.0
14,14.0,15.0,3.370229721069336,1.0
