,bin_start,bin_end,rmse,count
0,0.0,1.0,1.193412184715271,14.0
1,1.0,2.0,0.7075098752975464,40.0
2,2.0,3.0,0.6578341722488403,106.0
3,3.0,4.0,0.645720362663269,254.0
4,4.0,5.0,0.5587135553359985,491.0
5,5.0,6.0,0.5258006453514099,804.0
6,6.0,7.0,0.524675726890564,1001.0
7,7.0,8.0,0.5324758887290955,1022.0
8,8.0,9.0,0.46885767579078674,894.0
9,9.0,10.0,0.49764496088027954,448.0
10,10.0,11.0,0.7333399057388306,132.0
11,11.0,12.0,1.5272815227508545,13.0
12,12.0,13.0,2.053065776824951,6.0
13,13.0,14.0,1.9968767166137695,9.0
