,bin_start,bin_end,rmse,count
0,0.0,1.0,0.848702073097229,18.0
1,1.0,2.0,0.6336134076118469,38.0
2,2.0,3.0,0.5677900314331055,119.0
3,3.0,4.0,0.4745199680328369,288.0
4,4.0,5.0,0.6008340716362,395.0
5,5.0,6.0,0.6248410940170288,642.0
6,6.0,7.0,0.6216381192207336,856.0
7,7.0,8.0,0.651921272277832,828.0
8,8.0,9.0,0.6506478190422058,548.0
9,9.0,10.0,0.6009944081306458,580.0
10,10.0,11.0,0.564466655254364,645.0
11,11.0,12.0,0.4716508388519287,335.0
12,12.0,13.0,0.8030219674110413,47.0
13,13.0,14.0,0.6706421375274658,36.0
