time,buoy,model_output,buoy_measurement,difference,percentage_cloud
2022-09-01 10:00:00,['0n23w'],6.683274,6.3,0.3832736,0.2073974609375
2022-09-01 10:00:00,['10s10w'],6.8676634,6.8,0.06766319,0.36541748046875
2022-09-01 10:00:00,['12n23w'],6.186333,8.3,-2.113667,0.16741943359375
2022-09-01 10:00:00,['14s32w'],9.861124,10.1,-0.23887634,0.21435546875
2022-09-01 10:00:00,['15n38w'],6.26041,3.2,3.0604098,0.07586669921875
2022-09-01 10:00:00,['20n38w'],9.14908,5.9,3.2490802,0.19244384765625
2022-09-01 10:00:00,['21n23w'],5.8089614,9.2,-3.3910384,0.12109375
2022-09-01 10:00:00,['4n23w'],7.9417586,5.8,2.1417584,0.77099609375
2022-09-01 10:00:00,['6s10w'],6.204622,5.3,0.9046216,0.3253173828125
2022-09-01 10:00:00,['8s30w'],8.117994,7.1,1.0179944,0.207763671875
2022-09-01 11:00:00,['0n23w'],6.092762,5.9,0.1927619,0.00518798828125
2022-09-01 11:00:00,['10s10w'],6.461228,7.4,-0.9387722,0.2930908203125
2022-09-01 11:00:00,['12n23w'],7.252181,8.1,-0.8478193,0.141357421875
2022-09-01 11:00:00,['14s32w'],10.893091,9.2,1.6930914,0.1976318359375
2022-09-01 11:00:00,['15n38w'],6.671248,3.5,3.171248,0.05523681640625
2022-09-01 11:00:00,['20n38w'],8.297733,7.3,0.9977331,0.25762939453125
2022-09-01 11:00:00,['21n23w'],7.2221737,8.3,-1.0778265,0.08544921875
2022-09-01 11:00:00,['4n23w'],6.3383665,7.4,-1.0616336,0.0308837890625
2022-09-01 11:00:00,['6s10w'],5.7498207,5.0,0.7498207,0.24456787109375
2022-09-01 11:00:00,['8s30w'],8.019869,6.5,1.5198689,0.15667724609375
2022-09-01 12:00:00,['0n23w'],6.592747,6.0,0.5927472,0.00506591796875
2022-09-01 12:00:00,['10s10w'],6.6220727,6.5,0.1220727,0.23748779296875
2022-09-01 12:00:00,['12n23w'],9.109129,8.9,0.20912933,0.10772705078125
2022-09-01 12:00:00,['14s32w'],10.71768,6.9,3.81768,0.18145751953125
2022-09-01 12:00:00,['15n38w'],6.5052266,3.9,2.6052265,0.07122802734375
2022-09-01 12:00:00,['20n38w'],7.207401,6.7,0.507401,0.2122802734375
2022-09-01 12:00:00,['21n23w'],6.727352,7.7,-0.97264767,0.09271240234375
2022-09-01 12:00:00,['4n23w'],6.3786507,6.9,-0.52134943,0.01129150390625
