,bin_start,bin_end,rmse,count
0,0.0,1.0,1.2637062072753906,8.0
1,1.0,2.0,0.9652471542358398,30.0
2,2.0,3.0,0.8289732933044434,73.0
3,3.0,4.0,0.8882809281349182,194.0
4,4.0,5.0,0.6680884957313538,300.0
5,5.0,6.0,0.5938975214958191,401.0
6,6.0,7.0,0.6034108996391296,413.0
7,7.0,8.0,0.6053588390350342,554.0
8,8.0,9.0,0.6803433895111084,458.0
9,9.0,10.0,0.5776162147521973,712.0
10,10.0,11.0,0.6633580923080444,900.0
11,11.0,12.0,0.8080707788467407,684.0
12,12.0,13.0,1.098310112953186,282.0
13,13.0,14.0,1.3217774629592896,28.0
14,14.0,15.0,2.399052381515503,6.0
15,15.0,16.0,,0.0
