time,buoy,model_output,buoy_measurement,difference,percentage_cloud
2022-02-01 10:00:00,['0n10w'],6.200078,3.94,2.260078,0.0404052734375
2022-02-01 10:00:00,['0n23w'],4.5481386,4.7,-0.15186119,0.1290283203125
2022-02-01 10:00:00,['12n23w'],7.9614644,6.5,1.4614644,0.13421630859375
2022-02-01 10:00:00,['14s32w'],6.5881023,3.74,2.8481023,0.00897216796875
2022-02-01 10:00:00,['15n38w'],7.2838407,4.6,2.6838408,0.0513916015625
2022-02-01 10:00:00,['20n38w'],5.800767,3.7,2.100767,0.032958984375
2022-02-01 10:00:00,['21n23w'],5.004638,6.1,-1.0953617,0.21832275390625
2022-02-01 10:00:00,['4n23w'],5.449707,6.8,-1.3502932,0.02069091796875
2022-02-01 10:00:00,['6s10w'],5.62056,4.7,0.92056036,0.02239990234375
2022-02-01 10:00:00,['8s30w'],8.454692,5.09,3.3646917,0.76702880859375
2022-02-01 11:00:00,['0n10w'],4.314824,4.04,0.27482414,0.0286865234375
2022-02-01 11:00:00,['0n23w'],5.0663443,3.9,1.1663442,0.1204833984375
2022-02-01 11:00:00,['12n23w'],8.018626,7.5,0.5186262,0.08038330078125
2022-02-01 11:00:00,['14s32w'],6.694618,3.19,3.5046182,0.5047607421875
2022-02-01 11:00:00,['15n38w'],6.488586,6.0,0.48858595,0.06817626953125
2022-02-01 11:00:00,['20n38w'],5.2133427,5.3,-0.086657524,0.048583984375
2022-02-01 11:00:00,['21n23w'],4.559131,5.3,-0.74086905,0.20245361328125
2022-02-01 11:00:00,['4n23w'],4.194265,6.3,-2.1057353,0.01605224609375
2022-02-01 11:00:00,['6s10w'],5.751644,5.2,0.5516443,0.00299072265625
2022-02-01 11:00:00,['8s30w'],8.774763,5.87,2.9047632,0.475341796875
2022-02-01 12:00:00,['0n10w'],4.1994724,4.3,-0.10052776,0.0260009765625
2022-02-01 12:00:00,['0n23w'],5.316889,4.5,0.8168888,0.07373046875
2022-02-01 12:00:00,['12n23w'],8.332363,8.9,-0.5676365,0.02752685546875
2022-02-01 12:00:00,['14s32w'],4.803747,4.59,0.21374702,0.03790283203125
2022-02-01 12:00:00,['15n38w'],7.007398,5.6,1.4073982,0.0477294921875
2022-02-01 12:00:00,['20n38w'],6.093399,4.2,1.8933992,0.0435791015625
2022-02-01 12:00:00,['21n23w'],5.1735315,4.2,0.9735317,0.1490478515625
2022-02-01 12:00:00,['4n23w'],6.922801,6.5,0.42280102,0.0125732421875
2022-02-01 12:00:00,['6s10w'],6.262632,4.9,1.3626318,0.02227783203125
2022-02-01 12:00:00,['8s30w'],5.405982,4.84,0.56598186,0.00439453125
2022-02-01 13:00:00,['0n10w'],4.3066473,4.59,-0.28335285,0.0228271484375
2022-02-01 13:00:00,['0n23w'],5.876877,2.6,3.276877,0.09161376953125
2022-02-01 13:00:00,['12n23w'],7.462689,7.7,-0.23731089,0.00421142578125
2022-02-01 13:00:00,['14s32w'],7.7234106,5.35,2.3734107,0.02789306640625
2022-02-01 13:00:00,['15n38w'],6.3873224,5.0,1.3873224,0.03375244140625
2022-02-01 13:00:00,['20n38w'],4.3391323,3.4,0.9391322,0.02960205078125
2022-02-01 13:00:00,['21n23w'],6.074627,5.4,0.6746268,0.05511474609375
2022-02-01 13:00:00,['4n23w'],6.9085484,6.8,0.108548164,0.00811767578125
2022-02-01 13:00:00,['6s10w'],5.7998962,5.7,0.09989643,0.00677490234375
2022-02-01 13:00:00,['8s30w'],6.2538395,5.24,1.0138397,0.0018310546875
2022-02-01 14:00:00,['0n10w'],5.0024853,4.39,0.6124854,0.01031494140625
2022-02-01 14:00:00,['0n23w'],6.0138893,3.5,2.5138893,0.14111328125
2022-02-01 14:00:00,['12n23w'],7.9209385,8.1,-0.17906189,0.00164794921875
2022-02-01 14:00:00,['14s32w'],7.516021,5.02,2.4960208,0.02301025390625
2022-02-01 14:00:00,['15n38w'],4.974672,4.7,0.27467203,0.03216552734375
2022-02-01 14:00:00,['20n38w'],5.555496,4.6,0.9554963,0.02398681640625
2022-02-01 14:00:00,['21n23w'],4.4208784,5.7,-1.2791214,0.039794921875
2022-02-01 14:00:00,['4n23w'],7.6843157,5.5,2.1843157,0.00323486328125
2022-02-01 14:00:00,['6s10w'],6.2931623,5.4,0.89316225,0.00592041015625
2022-02-01 14:00:00,['8s30w'],7.424271,5.44,1.984271,0.0052490234375
2022-02-01 15:00:00,['0n10w'],4.591834,5.05,-0.45816612,0.013916015625
2022-02-01 15:00:00,['0n23w'],5.1123104,3.3,1.8123105,0.14739990234375
2022-02-01 15:00:00,['12n23w'],7.9938297,8.2,-0.20617008,0.00146484375
2022-02-01 15:00:00,['14s32w'],5.784408,4.78,1.0044079,0.033447265625
2022-02-01 15:00:00,['15n38w'],5.901322,5.4,0.5013218,0.03790283203125
2022-02-01 15:00:00,['20n38w'],6.750741,4.9,1.8507409,0.03057861328125
2022-02-01 15:00:00,['21n23w'],4.814662,5.7,-0.8853378,0.0201416015625
2022-02-01 15:00:00,['4n23w'],7.4491396,5.4,2.0491395,0.01031494140625
2022-02-01 15:00:00,['6s10w'],6.1554565,5.8,0.35545635,0.00555419921875
