,bin_start,bin_end,rmse,count
0,0.0,1.0,0.5055564641952515,2.0
1,1.0,2.0,0.4627317786216736,24.0
2,2.0,3.0,0.5100092887878418,57.0
3,3.0,4.0,0.7976770401000977,140.0
4,4.0,5.0,0.5917255878448486,335.0
5,5.0,6.0,0.5391083359718323,781.0
6,6.0,7.0,0.448669970035553,1199.0
7,7.0,8.0,0.423062264919281,1151.0
8,8.0,9.0,0.47293853759765625,789.0
9,9.0,10.0,0.535416841506958,326.0
10,10.0,11.0,0.6801574230194092,122.0
11,11.0,12.0,0.7147518396377563,51.0
12,12.0,13.0,0.892861545085907,16.0
13,13.0,14.0,0.9759684801101685,18.0
