time,buoy,model_output,buoy_measurement,difference,percentage_cloud
2022-12-01 10:00:00,['0n23w'],7.159303,6.7,0.45930338,0.03143310546875
2022-12-01 10:00:00,['10s10w'],8.415424,7.6,0.81542444,0.55853271484375
2022-12-01 10:00:00,['12n23w'],8.52828,6.7,1.8282804,0.1376953125
2022-12-01 10:00:00,['14s32w'],9.392476,8.5,0.8924761,0.391357421875
2022-12-01 10:00:00,['15n38w'],8.219455,7.5,0.71945477,0.1278076171875
2022-12-01 10:00:00,['20n38w'],7.5076632,10.3,-2.792337,0.02606201171875
2022-12-01 10:00:00,['21n23w'],7.417256,7.8,-0.3827443,0.0565185546875
2022-12-01 10:00:00,['4n23w'],5.86,6.1,-0.23999977,0.052978515625
2022-12-01 10:00:00,['6s10w'],9.74193,9.4,0.3419304,0.8917236328125
2022-12-01 10:00:00,['8s30w'],6.9704123,7.9,-0.92958784,0.03985595703125
2022-12-01 11:00:00,['0n23w'],6.943394,5.7,1.2433944,0.02191162109375
2022-12-01 11:00:00,['10s10w'],8.831537,9.1,-0.26846313,0.43328857421875
2022-12-01 11:00:00,['12n23w'],6.6410146,7.0,-0.35898542,0.04833984375
2022-12-01 11:00:00,['14s32w'],8.189952,9.7,-1.5100479,0.295166015625
2022-12-01 11:00:00,['15n38w'],8.253384,7.8,0.45338345,0.1341552734375
2022-12-01 11:00:00,['20n38w'],8.118225,9.3,-1.1817751,0.0235595703125
2022-12-01 11:00:00,['21n23w'],7.280142,6.7,0.580142,0.053955078125
2022-12-01 11:00:00,['4n23w'],4.486743,5.7,-1.2132568,0.0657958984375
2022-12-01 11:00:00,['6s10w'],7.602236,9.1,-1.4977646,0.75189208984375
2022-12-01 11:00:00,['8s30w'],7.688473,9.2,-1.5115266,0.01629638671875
2022-12-01 12:00:00,['0n23w'],6.983071,6.2,0.78307104,0.01385498046875
2022-12-01 12:00:00,['10s10w'],7.8443327,7.8,0.044332504,0.312255859375
2022-12-01 12:00:00,['12n23w'],6.868472,6.7,0.16847229,0.0072021484375
2022-12-01 12:00:00,['14s32w'],8.222778,10.1,-1.8772221,0.29425048828125
2022-12-01 12:00:00,['15n38w'],8.487539,7.8,0.6875391,0.1767578125
2022-12-01 12:00:00,['20n38w'],8.52997,9.1,-0.5700302,0.00933837890625
2022-12-01 12:00:00,['21n23w'],8.281498,6.5,1.781498,0.0416259765625
2022-12-01 12:00:00,['4n23w'],7.152941,5.4,1.7529411,0.07147216796875
2022-12-01 12:00:00,['6s10w'],8.15218,8.7,-0.5478201,0.525146484375
2022-12-01 12:00:00,['8s30w'],7.79299,8.1,-0.30701017,0.0106201171875
2022-12-01 13:00:00,['0n23w'],6.9986167,5.8,1.1986165,0.01495361328125
2022-12-01 13:00:00,['10s10w'],8.461323,8.9,-0.43867683,0.29864501953125
2022-12-01 13:00:00,['12n23w'],6.966701,6.5,0.46670103,0.00933837890625
2022-12-01 13:00:00,['14s32w'],8.421652,8.2,0.22165203,0.36578369140625
2022-12-01 13:00:00,['15n38w'],8.767934,8.0,0.76793385,0.16192626953125
2022-12-01 13:00:00,['20n38w'],8.785776,10.2,-1.4142237,0.01904296875
2022-12-01 13:00:00,['21n23w'],7.729642,6.6,1.129642,0.0897216796875
2022-12-01 13:00:00,['4n23w'],5.957902,5.6,0.35790205,0.07684326171875
2022-12-01 13:00:00,['6s10w'],8.668144,8.8,-0.13185596,0.361572265625
2022-12-01 13:00:00,['8s30w'],7.865861,8.9,-1.0341387,0.01190185546875
2022-12-01 14:00:00,['0n23w'],7.648233,5.4,2.2482328,0.01385498046875
