,bin_start,bin_end,rmse,count
0,0.0,1.0,1.4373395442962646,1.0
1,1.0,2.0,1.1010124683380127,9.0
2,2.0,3.0,0.8435992002487183,30.0
3,3.0,4.0,0.8095467686653137,52.0
4,4.0,5.0,0.7241898775100708,144.0
5,5.0,6.0,0.6531469225883484,474.0
6,6.0,7.0,0.43236368894577026,781.0
7,7.0,8.0,0.39442697167396545,1237.0
8,8.0,9.0,0.5222157835960388,913.0
9,9.0,10.0,0.6604063510894775,593.0
10,10.0,11.0,0.7594479322433472,205.0
11,11.0,12.0,0.7512716054916382,86.0
12,12.0,13.0,0.9103085994720459,23.0
13,13.0,14.0,3.207409143447876,4.0
14,14.0,15.0,,0.0
